0_RfR 0,0_RfR 1,0_RfR 2,1_RfR 0,1_RfR 1,1_RfR 2,2_RfR 0,2_RfR 1,2_RfR 2,3_RfR 0,3_RfR 1,3_RfR 2,4_RfR 0,4_RfR 1,4_RfR 2,EWS_DaysToThreat,A.1_DikeIncrease 0,A.1_DikeIncrease 1,A.1_DikeIncrease 2,A.2_DikeIncrease 0,A.2_DikeIncrease 1,A.2_DikeIncrease 2,A.3_DikeIncrease 0,A.3_DikeIncrease 1,A.3_DikeIncrease 2,A.4_DikeIncrease 0,A.4_DikeIncrease 1,A.4_DikeIncrease 2,A.5_DikeIncrease 0,A.5_DikeIncrease 1,A.5_DikeIncrease 2,A.1_Expected Number of Deaths,A.1_Expected Annual Damage,A.1_Dike Investment Costs,A.2_Expected Number of Deaths,A.2_Expected Annual Damage,A.2_Dike Investment Costs,A.3_Expected Number of Deaths,A.3_Expected Annual Damage,A.3_Dike Investment Costs,RfR Total Costs,Expected Evacuation Costs
1,0,0,0,0,1,0,1,1,0,0,0,0,0,0,1,4,3,1,1,0,7,6,7,4,3,2,4,0,5,4,0.0,0.0,137587437.176622,0.018562868151010256,74492051.70892675,114065823.89018795,0.0,0.0,114129776.63094811,363800000.0,7804.938730551744
0,1,0,0,1,1,0,1,0,0,1,0,1,0,1,0,0,7,2,3,0,8,5,0,8,6,4,10,4,6,5,0.0,0.0,115272862.040791,0.0230627598150572,32119479.356073774,137740019.71608213,0.0,0.0,72904233.49257189,1184300000.0,0.0
0,0,1,1,1,0,0,0,0,1,1,1,1,0,1,1,10,1,1,10,6,6,4,3,0,1,3,7,2,3,1,0.0,0.0,188173192.65841717,0.0,0.0,305007063.4285632,0.005524116626653476,11231549.87748961,54082305.45306664,1396000000.0,273.466398198452
1,0,0,0,0,1,1,1,1,1,1,0,0,1,1,0,0,0,5,8,0,5,9,0,9,3,10,3,6,4,5,0.002506118629249483,5244305.414622088,53972506.18695759,0.0,0.0,159009199.8289076,0.0,0.0,95557254.59389251,1149100000.0,0.0
1,0,1,0,0,0,0,1,1,1,0,0,0,0,0,4,7,1,5,2,2,6,1,0,9,8,5,3,9,8,7,0.0,0.0,180120614.91322458,0.0015976822167265393,18690027.47375127,164158821.24202234,0.009378859106115623,59238171.763323784,62295985.03000632,351800000.0,3245.0683332597073
0,1,1,0,0,1,1,0,1,0,1,1,1,1,1,0,5,9,7,7,9,2,3,0,3,2,8,2,9,7,5,0.0,0.0,263900466.73708174,0.0,0.0,260470459.13908026,0.00630882012000694,4699758.312684446,50962397.12067895,1459100000.0,0.0
0,1,1,1,1,0,1,1,1,1,0,0,1,0,1,1,8,6,1,3,4,7,1,0,7,7,7,1,10,7,5,0.0,0.0,208073802.45052293,0.0014902670053695746,5784040.691863986,199616143.74399394,0.015457858502169233,33136328.929257937,55690229.411618516,1330300000.0,676.8049166771824
0,0,1,1,1,1,0,0,0,1,1,1,0,1,0,2,1,9,6,9,6,1,2,3,0,2,7,7,3,2,1,0.0,0.0,205836923.3913095,0.0,0.0,242666064.85874596,0.007241758021861312,35576894.2699386,48047840.36663434,1357700000.0,949.9767004545396
1,1,0,0,0,0,1,0,1,0,0,1,0,1,1,3,6,0,4,7,2,1,1,2,1,7,7,6,10,0,8,0.0,0.0,119252509.8856793,0.0,0.0,179237237.8274835,0.0055728425329550175,35015925.48371527,65676736.01177071,864000000.0,1187.0559224146773
1,0,1,1,0,0,0,1,0,0,1,1,0,0,1,2,4,6,10,7,4,7,6,1,0,7,2,5,4,2,6,0.0,0.0,250386862.69155878,0.0,0.0,246921545.1114205,0.0,0.0,56232105.137590505,916200000.0,115.83625228689152
0,0,0,0,0,0,1,0,0,0,1,1,1,1,1,2,5,1,1,10,1,1,6,5,0,0,1,0,10,2,7,0.0,0.0,132646089.01706745,0.0,0.0,208389932.63291755,0.0,0.0,66629563.55863415,1041400000.0,552.0936519802893
0,0,1,1,0,0,1,0,0,1,0,1,0,1,0,1,1,0,6,6,7,7,1,0,3,7,2,5,10,1,7,0.0,0.0,95486976.46933737,0.0,0.0,269209918.9262564,0.03112748206472665,64428996.11541592,45324187.55237766,831600000.0,1043.7838564858212
1,0,0,0,0,0,0,1,1,1,1,1,0,1,0,3,4,6,0,7,1,1,9,1,1,4,4,9,5,6,9,0.0,0.0,117299462.54481953,0.0,0.0,171741383.20257318,0.0,0.0,96481650.70641121,765700000.0,0.0
0,0,0,1,1,0,1,0,1,1,1,1,1,1,1,4,2,0,0,10,1,2,6,1,7,1,1,5,10,5,6,0.0,0.0,37255203.23710208,0.0,0.0,215008200.41735268,0.0,0.0,99527916.95663401,1628900000.0,176.06881018365365
0,1,1,1,1,0,0,0,0,1,1,0,1,1,0,1,6,1,0,0,2,0,1,2,5,4,3,3,4,6,6,0.0,0.0,100714900.1874114,0.05441943851186769,223527540.10079554,42818415.6714978,0.006548012236578236,13969427.759020537,75077222.04581898,1359400000.0,4749.987099083176
0,0,0,0,0,1,0,1,0,1,1,0,0,0,1,3,0,2,5,3,0,4,10,0,5,6,3,5,6,9,5,0.012526031334697556,217691338.33779725,94979303.71425684,0.0008140655613606874,9380142.413625754,106860238.4866137,0.0,0.0,84513741.32644606,747000000.0,2245.050125837793
0,0,1,1,1,0,0,0,0,1,1,1,0,0,0,1,9,6,6,0,1,4,3,0,2,1,1,5,10,5,0,0.0,0.0,267928250.85702252,0.04042843550443231,165438301.46083954,93427003.66768599,0.0012034772427780135,2427311.7065962255,48716867.66610375,883800000.0,3368.8361639357668
1,0,0,1,0,0,0,0,0,0,1,0,1,1,0,3,0,8,2,0,4,4,10,0,0,7,4,7,4,3,1,0.00015036711775496896,2622152.707311044,125043551.49815606,0.015046179447805976,186240583.7563328,114392792.32657647,0.0,0.0,44215020.369581826,935800000.0,7790.050579227164
1,1,1,0,1,0,0,1,0,0,0,1,0,0,1,4,4,1,6,4,0,5,1,0,2,8,5,4,6,4,8,0.0,0.0,157070751.6108724,0.001043864176948238,11868127.516749505,121314835.77466118,0.017436653017277388,109242081.76158018,43224599.14167526,879600000.0,4876.642013265635
1,0,0,1,1,0,0,1,1,0,1,0,0,0,0,2,10,1,4,0,6,6,0,4,3,0,1,5,7,8,7,0.0,0.0,210102009.8443982,0.007205690207280954,71537747.32852179,146841946.52894095,0.00015373961646405844,754108.8173450691,54082305.45306664,702800000.0,5140.699532196226
1,0,1,0,1,1,1,1,0,1,1,0,0,1,1,1,0,1,5,4,0,2,1,7,1,7,1,3,8,4,9,0.0,0.0,88511693.9986257,0.0014779925554031566,5646894.807574732,102336429.85235605,0.013747413457231367,29160846.453353424,82249684.10252997,1420800000.0,598.6173163409419
1,0,0,1,1,0,0,1,1,1,1,0,1,1,0,4,9,2,0,1,2,1,2,4,0,9,5,3,10,8,8,0.0,0.0,135674464.19102705,0.0027357320104163924,32455216.854068816,124827903.5097079,0.0,0.0,50406479.71948833,1336200000.0,1549.9645384952346
1,0,0,0,1,1,0,1,0,0,1,1,1,1,0,0,1,3,5,4,0,7,4,0,1,5,2,6,5,7,7,0.0,0.0,138168009.3635082,0.008614946741176672,11808118.2901452,137220471.0599543,0.0,0.0,49622725.1402255,1305500000.0,0.0
0,0,1,1,0,0,0,0,0,1,0,1,1,0,1,0,2,6,3,5,4,4,2,3,0,0,3,6,1,1,6,0.0,0.0,157526865.96009347,0.0021534802589506415,2895463.581860725,194729524.96807855,0.052384616224704694,38428593.76365714,48047840.36663434,1057000000.0,0.0
1,0,1,0,0,1,0,0,0,1,1,0,0,0,0,1,7,6,6,4,6,5,5,0,2,5,1,5,5,2,2,0.0,0.0,238931234.54161525,0.0015884550434381922,5979070.678327984,212039158.3861963,0.002726005006642436,5476202.93794655,55021520.85615872,629400000.0,202.73650098379608
1,0,1,1,1,0,0,1,0,1,1,1,0,0,1,2,9,2,10,8,4,5,4,0,3,10,3,4,10,6,7,0.0,0.0,273309574.6758379,0.0,0.0,240004945.95096672,0.0003093292211253573,1513281.7125825451,54082305.45306664,1255200000.0,40.05498104805588
0,0,1,0,1,1,0,1,1,1,0,1,0,0,0,1,4,0,6,1,7,7,6,0,4,0,2,4,0,5,9,0.0,0.0,117299462.54481953,0.005955273970162188,23802721.83846423,209991277.7959833,0.0,0.0,63699598.27434066,824000000.0,1223.9473890173049
1,0,0,1,0,0,1,1,1,0,1,0,0,0,1,2,2,2,0,1,1,3,4,3,0,3,0,5,2,9,8,0.0,0.0,77099991.75787257,0.004073803111865268,39150400.69237211,128965327.37089843,0.0,0.0,54082305.45306664,771800000.0,1404.0167222106284
1,0,0,0,0,1,1,1,1,0,1,1,1,0,1,3,4,1,4,4,2,5,6,0,2,10,2,4,4,10,2,0.0,0.0,141847108.73659444,3.462927847835529e-05,397213.8009028189,175016288.22731808,0.0,0.0,58517988.01954745,1149100000.0,112.17516330293944
1,0,0,0,0,1,1,1,1,0,0,0,1,0,0,0,4,0,4,7,0,5,6,7,4,2,2,4,0,10,4,0.0,0.0,102578836.07266891,0.0,0.0,148478841.59446153,0.0,0.0,114129776.63094811,650600000.0,0.0
1,0,0,1,1,0,0,1,1,1,1,0,0,1,0,2,6,6,7,1,6,1,0,3,0,1,6,5,3,1,0,0.0,0.0,236973610.78838855,0.002481364154234246,23802721.83846423,154933309.49099135,0.0047787584868547155,25091576.400134973,24198032.45136138,1080100000.0,1650.0840077607736
1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,3,7,1,1,10,2,7,7,4,0,7,5,1,6,3,0,0.0,0.0,152281136.071976,0.0,0.0,269167233.3838538,0.0,0.0,67626108.28683192,205800000.0,54.41725041854435
1,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,9,1,10,0,5,5,0,0,7,1,7,3,3,2,0.057184788315826345,119277805.01106492,129503908.60174897,0.0,0.0,182660272.67043388,0.02067379746862032,14941325.845242988,28798397.130608946,718000000.0,0.0
0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,6,0,7,3,1,7,3,1,7,4,6,8,2,4,0.057184788315826345,119277805.01106492,60717312.84309486,0.0,0.0,187362096.66437703,0.0,0.0,93241572.7977978,371400000.0,0.0
1,0,1,0,0,0,0,0,1,0,1,1,0,0,1,3,7,9,10,7,3,0,6,4,0,2,4,5,1,2,1,0.0,0.0,338825824.16778654,0.0,0.0,133844205.0086204,0.0,0.0,63699598.27434066,698400000.0,2161.029915877769
1,0,0,1,0,0,1,0,0,1,0,1,0,0,0,2,0,1,2,0,1,3,4,3,0,2,0,4,2,1,5,0.00018795889719371126,2622152.707311044,71223146.50296113,0.013738035305717456,134634545.4455818,87722647.49511826,0.0,0.0,54082305.45306664,575500000.0,4515.2727598365955
1,0,1,0,1,1,0,1,0,0,1,0,0,1,1,1,0,1,1,4,0,1,0,7,4,0,2,3,8,2,5,0.0,0.0,66507014.9338145,0.0034762079314838695,13156639.979126932,97105266.60422453,0.06182246044295428,135239752.70534235,67626108.28683192,1268900000.0,3204.5983323884807
0,0,1,1,0,0,0,0,1,1,1,0,1,0,0,2,0,2,1,1,0,0,4,8,0,0,5,4,8,3,8,0.00018795889719371126,2622152.707311044,72222705.9376919,0.011681147609547487,112210361.98856668,38245121.951764055,0.0,0.0,69051880.14680123,831600000.0,4480.607924195717
1,0,1,1,0,0,0,1,1,1,1,1,0,1,0,3,5,1,1,9,6,8,1,3,0,0,4,8,2,2,6,0.0,0.0,132646089.01706745,0.0,0.0,313898676.66785926,0.0027006726895886634,17096402.89908714,45324187.55237766,1068100000.0,1011.8186259929287
1,0,0,0,1,1,0,1,0,1,1,0,0,1,1,1,0,1,0,4,1,2,1,8,2,4,1,3,8,4,0,0.0,0.0,32694901.094161935,0.001659683069448341,6311412.603640347,147756738.11197522,0.014547753042318439,30236946.923174594,88853714.28353907,1305500000.0,615.6204504022867
1,0,1,1,0,0,0,0,1,1,0,1,0,0,1,0,5,4,1,5,7,4,1,0,2,2,2,2,1,1,5,0.0,0.0,154813143.38643056,0.00030275737787927845,407353.4585677467,225994404.34691143,0.09645664887557276,71824941.76482575,43224599.14167526,916200000.0,0.0
0,0,1,1,0,0,0,0,0,1,0,0,1,1,1,1,5,5,1,8,7,7,4,1,0,6,2,0,3,0,2,0.0,0.0,163569810.7373196,0.0,0.0,298564082.6233564,0.014420734880502134,29090402.5552442,49622725.1402255,1191900000.0,1910.7791574950163
0,0,0,1,1,0,0,1,1,1,1,0,1,1,0,0,9,2,0,1,2,0,2,10,0,9,5,2,10,8,7,0.0,0.0,135674464.19102705,0.024947570935925024,35460817.06209867,82526679.5239558,0.0,0.0,69456196.27730663,1251600000.0,0.0
1,0,1,0,0,0,1,0,1,1,0,0,0,0,1,4,7,1,5,4,0,2,0,0,8,1,9,6,5,8,4,0.0,0.0,180120614.91322458,0.000497498400537139,5675701.278804074,102336429.85235605,0.013620459768341846,87649512.787595,37285037.900559425,607900000.0,4418.663583902431
1,1,1,0,0,1,0,1,1,0,0,0,1,0,0,0,4,1,1,4,3,4,1,0,3,8,4,3,6,4,9,0.0,0.0,123922014.83441225,0.00283223000433654,3872921.553984158,175590686.05903777,0.0837476157775492,62730301.36024477,45324187.55237766,789100000.0,0.0
1,0,0,1,0,0,0,1,1,0,1,1,0,0,0,2,5,5,0,1,1,0,6,6,4,9,6,6,6,7,7,0.0,0.0,117818559.7239252,0.005818864122933711,55341025.23221257,77797112.44472042,0.0,0.0,109326246.96952954,606200000.0,1824.0495078539398
1,0,1,0,1,0,1,0,0,1,0,1,1,0,1,2,6,0,5,1,1,1,2,1,1,7,7,5,10,3,1,0.0,0.0,126745040.65873201,0.006623653113616599,62760618.867512,118700628.29513216,0.00032365906286894704,1607368.98629615,66330233.160400495,1172300000.0,2109.6229808904473
1,0,1,0,0,0,0,0,1,0,0,1,1,0,0,1,5,0,4,1,1,6,5,0,3,8,4,3,10,3,9,0.0,0.0,110573595.57493308,0.018327465984621795,73090451.87037481,148432968.6674199,0.0,0.0,57423135.62296812,577200000.0,1454.6282980392732
0,0,0,1,1,1,1,0,1,1,1,0,0,1,0,2,0,2,6,3,0,2,0,7,0,5,1,4,2,4,7,0.0,0.0,102192937.55533153,0.0012607714861545085,11658095.223634433,95202239.80249318,0.005710166882942027,29123088.214336358,34221561.73832255,1213300000.0,1190.6244808121653
1,0,0,1,1,0,0,1,1,1,1,0,1,1,0,4,9,2,0,1,2,2,5,4,0,10,2,3,10,9,7,0.0,0.0,135674464.19102705,0.0024893999178491996,29631769.45028145,129886219.76334889,0.0,0.0,60031921.43603267,1336200000.0,1416.6345827101911
1,1,1,1,1,0,0,1,1,0,0,1,0,0,1,4,0,0,6,5,0,5,5,3,2,7,6,3,6,7,5,0.0,0.0,60717312.84309486,0.0,0.0,129688488.72986558,0.0,0.0,86427363.44892766,1128100000.0,63.48679215496841
1,0,0,0,0,0,0,1,0,1,1,0,0,1,1,4,5,0,1,4,0,9,7,8,3,6,0,5,0,7,7,0.0,0.0,92648501.6727509,0.0010337936089412007,11808118.2901452,156295954.0347702,0.0,0.0,121448880.14622706,869900000.0,3893.7505450618437
1,0,0,1,0,0,1,1,1,1,1,1,1,0,0,2,5,3,4,2,0,0,5,0,6,6,6,4,6,7,5,0.0,0.0,166604617.59284723,0.002871126663931191,27274630.817789465,42818415.6714978,0.0,0.0,65941184.48239788,1014200000.0,898.2914535979537
0,0,1,1,1,0,0,0,0,1,0,1,0,0,0,2,7,5,6,5,1,0,3,0,6,3,1,4,5,3,9,0.0,0.0,227292860.5414936,0.0003230220388425963,2895463.581860725,104651657.86617124,0.012659489787215688,61942108.73900348,58926842.49039639,762600000.0,1737.8510968018431
1,0,0,1,0,0,1,1,1,0,1,0,0,0,1,3,2,2,0,2,0,3,3,0,1,6,1,2,1,9,5,0.0,0.0,77099991.75787257,0.0026282008880250157,31289227.981323153,93986630.59767582,0.0,0.0,46650169.32145682,771800000.0,4419.964941645298
1,0,1,1,0,0,0,0,1,1,1,1,0,0,0,1,4,3,6,6,7,4,0,1,2,1,3,2,7,1,4,0.0,0.0,173040321.3867225,0.0,0.0,238321732.97205263,0.05109054515088447,108800980.03889619,43224599.14167526,781300000.0,1885.058690097063
1,0,0,1,1,0,1,1,1,1,1,1,0,1,0,3,0,0,0,5,2,5,10,2,6,8,0,4,2,6,7,0.0,0.0,0.0,0.0,0.0,185224965.76200286,0.0,0.0,122226948.2737315,1232000000.0,341.61658543902985
0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,2,5,5,7,2,1,2,5,2,5,1,1,5,6,3,7,0.0,0.0,213168125.67203605,0.0026886356767836196,25160276.26758098,131081471.76130262,0.0,0.0,91456152.10972479,182600000.0,2099.035131369593
1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,7,2,3,6,1,1,0,3,9,0,6,6,10,1,9,0.0,0.0,172497598.12513041,0.0,0.0,161218867.4218822,0.46099247843486446,362857819.9974563,69113893.35624374,199900000.0,0.0
0,0,0,0,0,1,1,0,0,1,0,1,0,1,0,1,0,1,2,4,0,2,7,4,7,5,6,4,8,5,3,0.04126922402049322,238566718.03734827,71223146.50296113,0.00032941291390349906,1258315.904419906,102336429.85235605,0.0,0.0,117150034.25041166,747000000.0,1009.000280685033
1,0,0,1,0,0,1,0,0,0,0,0,1,0,0,2,7,0,5,0,0,4,4,7,7,2,5,4,8,4,7,0.0,0.0,136422954.7271911,0.023225586609376504,229101699.97047877,53358573.6002109,0.0,0.0,115071648.08041006,589200000.0,7674.047875641906
1,0,0,0,1,1,0,0,0,0,1,1,0,0,0,0,0,1,7,1,1,6,4,4,0,6,1,1,9,0,0,0.0,0.0,103162272.08375776,0.05889308101403247,84368830.69337712,148432968.6674199,0.0,0.0,56604892.31464201,762600000.0,0.0
1,1,1,0,0,0,0,0,0,0,1,1,0,0,0,2,7,2,1,2,0,3,0,7,2,7,4,2,9,2,7,0.0,0.0,159512409.85228848,0.005577285777511669,52025230.30016664,93986630.59767582,0.0645281255913103,338024340.54854715,62267437.976033404,496200000.0,11503.328087859945
1,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,8,8,8,3,1,2,5,0,1,7,0,7,3,3,5,0.0,0.0,306744218.34621304,0.01588081397814626,21993803.43641164,139121779.80099735,0.0,0.0,52811167.63503672,492600000.0,0.0
1,0,1,0,0,0,0,1,0,1,0,1,0,0,0,2,7,1,6,2,5,7,0,0,9,8,3,3,9,5,8,0.0,0.0,188945475.6704826,0.0017122906999065598,15976714.540561825,199113982.01211327,0.03651413277076533,191160279.65228456,40609051.370577164,442300000.0,6069.194078651562
1,0,0,1,0,0,0,1,1,1,0,0,0,0,0,2,0,1,2,0,1,3,6,3,5,2,3,5,4,9,8,0.00018795889719371126,2622152.707311044,71223146.50296113,0.011325854523632207,111253485.74013823,87722647.49511826,0.0,0.0,99968847.12278569,485000000.0,3737.4948643881
1,0,1,0,1,0,0,1,0,0,0,0,0,0,1,1,0,1,0,7,1,3,1,1,3,3,0,2,9,2,0,0.0,0.0,32694901.094161935,0.0,0.0,184298790.75256568,0.05014072483589884,104546164.50885126,67172241.44960354,673800000.0,1806.8380700386945
1,1,1,0,0,0,0,1,0,1,0,0,0,1,0,3,0,4,0,3,4,4,0,4,10,6,1,2,3,0,3,0.0,0.0,47847947.961454235,0.001383765588903432,16059739.678036887,174367466.21609122,0.02197682893460678,143329373.43515828,76978742.45300277,661800000.0,7512.793973926768
0,1,1,0,1,0,1,0,1,0,1,0,1,1,0,1,6,0,0,0,2,1,2,4,5,4,1,0,4,9,10,0.0,0.0,60717312.84309486,0.023746382121754978,96698023.59610276,83721931.52190953,0.0,0.0,85637245.55941087,1081800000.0,1944.4457980571449
0,1,0,0,0,0,1,0,1,0,0,1,0,1,0,1,8,4,3,6,0,0,7,4,6,4,5,2,6,10,4,0.0,0.0,202196758.0161829,0.0,0.0,66045103.44010488,0.0,0.0,113065055.38858135,523300000.0,20.145838913226477
1,0,0,1,1,0,0,1,1,0,1,1,1,1,1,0,1,4,7,1,2,0,5,4,0,2,4,2,10,0,1,0.0,0.0,162781975.58788604,0.024947570935925024,35460817.06209867,82526679.5239558,0.0,0.0,60031921.43603267,1592300000.0,0.0
0,1,0,0,0,1,0,0,0,1,1,1,0,0,1,0,4,10,4,3,4,3,2,0,3,6,0,5,6,6,5,0.0,0.0,233223561.90757343,0.011589434194937713,16101252.24677442,167388993.22428545,0.08569662259047965,63530570.43722324,48047840.36663434,922100000.0,0.0
0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,2,7,1,6,2,5,0,3,0,1,7,3,2,0,3,6,0.0,0.0,188945475.6704826,0.0040562355242646925,38264356.29006304,106358076.75473303,0.014167153643295374,69046768.70804465,46650169.32145682,339000000.0,5707.212371772031
0,0,1,1,0,0,0,0,0,1,0,1,1,0,1,0,2,5,2,5,7,4,3,3,0,0,3,6,7,1,4,0.0,0.0,142113162.79899588,0.0021534802589506415,2895463.581860725,225994404.34691143,0.04193369877572081,30862408.46405865,50962397.12067895,1057000000.0,0.0
0,0,1,1,0,0,0,1,1,0,1,1,1,1,1,0,1,1,3,5,3,4,7,0,5,1,7,6,1,6,10,0.0,0.0,111738176.02288951,0.0,0.0,185818991.25911087,0.0,0.0,70656192.99188861,1374500000.0,0.0
0,0,0,1,0,0,0,0,1,0,0,1,1,1,1,3,5,0,0,6,4,3,4,8,1,7,4,6,4,9,5,0.0,0.0,53972506.18695759,0.0,0.0,198269928.11725682,0.0008823895234122532,5386284.829434282,99431919.51973677,1138000000.0,836.754023499906
0,0,0,1,1,1,0,0,0,0,1,0,1,0,0,2,0,2,0,3,1,3,4,8,0,3,5,4,8,3,7,0.0,0.0,37255203.23710208,0.002826191757787009,25816019.540847324,144868808.27820158,0.0022922662128529196,11205684.46038471,69051880.14680123,1030700000.0,1150.2471166232299
1,0,0,0,0,1,0,1,0,0,1,0,0,0,0,1,7,3,0,4,0,5,6,8,5,3,1,4,5,5,7,0.0,0.0,121644599.3504275,0.0031315925308447136,11868127.516749505,121314835.77466118,0.0,0.0,123107471.02481982,454300000.0,363.9343745858006
